日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-30,,,月權益,,5000000,
2026-02-11,1529,樂事綠能,進場YoY277% —/無,40080,24.95,
2026-02-11,2363,矽統,進場YoY172% —/無,18181,55.0,
2026-02-11,3528,安馳,進場YoY152% —/無,13869,72.1,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,623,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,999,975.0,
2026-02-23,8210,勤誠,出清,999,890.0,-84915
2026-02-23,2485,兆赫,進場YoY163% —/無,21934,40.4,
2026-02-26,,,月權益,,5114544.517462499,
2026-03-04,2363,矽統,出清,18181,48.4,-119995
2026-03-04,3528,安馳,出清,13869,66.3,-80440
2026-03-04,2406,國碩,進場YoY189% —/無,31272,31.65,
2026-03-04,3167,大量,進場YoY120% —/無,3010,266.0,
2026-03-30,1529,樂事綠能,出清,40080,23.55,-56112
2026-03-30,4739,康普,進場YoY192% —/無,11442,81.8,
2026-03-31,,,月權益,,6022056.769925,
2026-04-01,,,月權益,,6248967.1699250005,
2026-04-02,2406,國碩,出清,31272,30.8,-26581
2026-04-02,8996,高力,進場YoY206% 散熱/無,1105,866.0,
2026-04-30,2485,兆赫,出清,21934,58.7,401392
2026-04-30,3006,晶豪科,進場YoY188% 記憶體/主軸,7517,169.5,
2026-04-30,,,月權益,,8007787.3447425,
2026-05-29,,,月權益,,8370680.744742501,
2026-06-01,,,月權益,,8406377.2447425,
2026-06-10,3017,奇鋐,出清,623,2360.0,470365
2026-06-10,2344,華邦電,進場YoY182% 記憶體/主軸,9787,149.0,
2026-06-30,,,月權益,,9314665.7309675,
2026-07-01,,,月權益,,9016871.2309675,
2026-07-09,3167,大量,出清,3010,775.0,1532090
2026-07-09,4739,康普,出清,11442,99.0,196802
2026-07-09,2059,川湖,進場YoY172% 機殼導軌/無,202,8250.0,
2026-07-09,2101,南港,進場YoY159% —/無,49094,34.0,
2026-07-14,8996,高力,出清,1105,1175.0,341445
2026-07-14,2305,全友,進場YoY142% —/無,37929,36.95,
2026-07-17,3006,晶豪科,出清,7517,198.0,214234
2026-07-20,2344,華邦電,出清,9787,151.0,19574
2026-07-21,3702,大聯大,進場YoY132% —/無,13376,111.5,
2026-07-21,3706,神達,進場YoY81% 伺服器ODM/候選,15952,91.3,
2026-07-28,3702,大聯大,出清,13376,110.0,-20064
2026-07-29,2101,南港,出清,49094,32.25,-85914
2026-07-29,2305,全友,出清,37929,27.45,-360326
2026-07-29,3706,神達,出清,15952,85.3,-95712
2026-07-31,,,月權益,,7045710.45094,
2026-08-05,8271,宇瞻,進場YoY201% 記憶體/主軸,6495,227.0,
2026-08-05,3229,晟鈦,進場YoY99% —/無,33324,44.25,
2026-08-05,3022,威強電,進場YoY80% —/無,15108,97.6,
2026-08-05,6214,精誠,進場YoY77% —/無,6598,153.0,
2026-08-31,,,月權益,,8715741.14475,
2026-09-01,,,月權益,,8643268.24475,
2026-09-03,3022,威強電,出清,15108,87.2,-157123
2026-09-03,2465,麗臺,進場YoY281% —/無,13557,96.2,
2026-09-04,,,月權益,,8462281.410525,
