日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,20040,24.95,
2026-02-11,2363,矽統,進場YoY172%,9090,55.0,
2026-02-11,3528,安馳,進場YoY152%,6934,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,311,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,512,975.0,
2026-02-11,2467,志聖,進場YoY124%,1831,273.0,
2026-02-11,4934,太極,進場YoY118%,30769,16.25,
2026-02-11,6805,富世達,進場YoY116%,323,1545.0,
2026-02-11,2208,台船,進場YoY75%,21276,23.5,
2026-02-11,2360,致茂,進場YoY72%,463,1050.0,
2026-02-11,1714,和桐,進場YoY58%,1019,9.25,
2026-02-23,8210,勤誠,出清,512,890.0,-43520
2026-02-23,2485,兆赫,進場YoY163%,11009,40.4,
2026-02-23,1597,直得,進場YoY40%,101,81.4,
2026-03-04,2363,矽統,出清,9090,48.4,-59994
2026-03-04,3528,安馳,出清,6934,66.3,-40217
2026-03-04,1597,直得,出清,101,72.3,-919
2026-03-04,2406,國碩,進場YoY189%,16861,31.65,
2026-03-04,3167,大量,進場YoY120%,1358,266.0,
2026-03-05,8213,志超,進場YoY34%,185,37.2,
2026-03-09,2208,台船,出清,21276,20.15,-71275
2026-03-09,4989,榮科,進場YoY170%,6814,61.4,
2026-03-12,8213,志超,出清,185,34.55,-490
2026-03-12,4739,康普,進場YoY192%,185,75.9,
2026-03-30,1529,樂事綠能,出清,20040,23.55,-28056
2026-03-30,5484,慧友,進場YoY184%,10652,43.25,
2026-03-31,4934,太極,出清,30769,16.3,1538
2026-04-01,8996,高力,進場YoY206%,548,908.0,
2026-04-02,2406,國碩,出清,16861,30.8,-14332
2026-04-02,2345,智邦,進場YoY83%,324,1590.0,
2026-04-13,5484,慧友,出清,10652,38.9,-46336
2026-04-13,3028,增你強,進場YoY125%,6939,59.8,
2026-04-28,1714,和桐,出清,1019,9.56,316
2026-04-28,8112,至上,進場YoY192%,200,86.1,
2026-04-30,2485,兆赫,出清,11009,58.7,201465
2026-04-30,3006,晶豪科,進場YoY188%,3721,169.5,
2026-05-14,6805,富世達,出清,323,1780.0,75905
2026-05-14,2465,麗臺,進場YoY176%,6935,82.6,
2026-06-08,4989,榮科,出清,6814,83.1,147864
2026-06-08,8112,至上,出清,200,84.7,-280
2026-06-08,2344,華邦電,進場YoY182%,3763,154.0,
2026-06-08,2305,全友,進場YoY81%,483,22.6,
2026-06-10,3017,奇鋐,出清,311,2360.0,234805
2026-06-10,2406,國碩,進場YoY143%,19980,35.85,
2026-06-24,2360,致茂,出清,463,2160.0,513930
2026-06-24,4934,太極,進場YoY281%,46936,17.55,
2026-06-26,2467,志聖,出清,1831,560.0,525497
2026-06-26,2465,麗臺,出清,6935,71.8,-74898
2026-06-26,4934,太極,出清,46936,16.3,-58670
2026-06-26,2337,旺宏,進場YoY176%,4882,162.5,
2026-06-26,2059,川湖,進場YoY172%,113,6990.0,
