日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-30,,,月權益,,5000000,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,623,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,1025,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,3663,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,3496,286.0,
2026-02-11,8046,南電,進場YoY45% PCB_CCL/無,2344,416.0,
2026-02-23,8210,勤誠,出清,1025,890.0,-87125
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無,22483,40.4,
2026-02-26,,,月權益,,5624425.442615,
2026-03-04,2382,廣達,出清,3496,281.0,-17480
2026-03-04,3167,大量,進場YoY120% PCB設備/無,3666,266.0,
2026-03-31,,,月權益,,7106172.631515,
2026-04-01,,,月權益,,7455537.831515,
2026-04-24,2485,兆赫,停利出清,22483,60.5,451908
2026-04-24,8996,高力,進場YoY205% 散熱/無,1195,1125.0,
2026-04-30,,,月權益,,11029531.6170025,
2026-05-29,,,月權益,,10159087.6170025,
2026-06-01,,,月權益,,10346620.6170025,
2026-06-10,3017,奇鋐,出清,623,2360.0,470365
2026-06-10,2344,華邦電,進場YoY182% 記憶體/主軸,9802,149.0,
2026-06-26,2467,志聖,出清,3663,560.0,1051281
2026-06-26,2337,旺宏,進場YoY176% 記憶體/主軸,12484,162.5,
2026-06-30,,,月權益,,11730359.678102499,
2026-07-01,2337,旺宏,出清,12484,143.5,-237196
2026-07-01,2059,川湖,進場YoY172% 機殼導軌/無,233,7655.0,
2026-07-01,,,月權益,,11381082.8427775,
2026-07-09,3167,大量,出清,3666,775.0,1865994
2026-07-09,3006,晶豪科,進場YoY297% 記憶體/主軸,9143,237.0,
2026-07-14,8996,高力,出清,1195,1175.0,59750
2026-07-14,2382,廣達,進場YoY103% 伺服器ODM/候選,5396,380.0,
2026-07-17,3006,晶豪科,出清,9143,198.0,-356577
2026-07-17,2382,廣達,出清,5396,325.5,-294082
2026-07-20,2344,華邦電,出清,9802,151.0,19604
2026-07-21,3706,神達,進場YoY81% 伺服器ODM/候選,21272,91.3,
2026-07-21,5388,中磊,進場YoY71% 網通交換器/候選,22822,85.1,
2026-07-28,8046,南電,停利出清,2344,976.0,1312640
2026-07-29,3706,神達,出清,21272,85.3,-127632
2026-07-29,5388,中磊,出清,22822,81.9,-73030
2026-07-31,,,月權益,,8947654.787267499,
2026-08-05,8271,宇瞻,進場YoY201% 記憶體/主軸,8215,227.0,
2026-08-05,2317,鴻海,進場YoY52% 伺服器ODM/候選,7214,258.5,
2026-08-10,3231,緯創,進場YoY54% 伺服器ODM/候選,10362,193.0,
2026-08-11,2344,華邦電,進場YoY292% 記憶體/主軸,7602,178.0,
2026-08-17,2317,鴻海,出清,7214,255.0,-25249
2026-08-17,2465,麗臺,進場YoY281% 伺服器ODM/候選,20089,90.6,
2026-08-19,2344,華邦電,出清,7602,168.0,-76020
2026-08-20,2383,台光電,進場YoY129% PCB_CCL/主軸,213,5985.0,
2026-08-31,,,月權益,,10103461.505197499,
2026-09-01,,,月權益,,10194772.205197498,
2026-09-03,2383,台光電,出清,213,5290.0,-148035
2026-09-03,3443,創意,進場YoY158% IC設計_ASIC/無,194,5800.0,
2026-09-04,,,月權益,,10208162.4379475,
